symbol,k_vol,k_entry,k_tp,k_sl,trades,win_rate,e_pnl_gross,e_pnl_net,sharpe,profit_factor
BTC/USDT,7.0,1.5,1.5,1.0,293,0.2354948805460751,-0.0005056508786890477,-0.002405650878689048,-170.4577833610215,0.14119792736322204
BTC/USDT,7.0,1.5,1.5,1.5,288,0.3263888888888889,-0.0005706618140731791,-0.002470661814073179,-137.76334309884527,0.1692586068387794
BTC/USDT,7.0,1.5,2.0,0.5,294,0.14625850340136054,-0.0002629233964723225,-0.002162923396472322,-212.90852706921157,0.12045115699620261
BTC/USDT,7.0,1.5,2.0,1.0,292,0.24315068493150685,-0.00035629265547570667,-0.0022562926554757063,-139.03795206989,0.21129576839073144
BTC/USDT,7.0,1.5,2.0,1.5,287,0.33797909407665505,-0.0004154690314294406,-0.0023154690314294408,-114.53101569867945,0.2538219812957772
BTC/USDT,7.0,2.0,1.0,0.5,257,0.08949416342412451,-0.0004405547888392403,-0.0023405547888392404,-340.12809441467823,0.02627705014071157
BTC/USDT,7.0,2.0,1.0,1.0,256,0.171875,-0.0006418537360225506,-0.0025418537360225504,-224.4617802140151,0.05590916338001697
BTC/USDT,7.0,2.0,1.0,1.5,253,0.22529644268774704,-0.0007241661578135035,-0.002624166157813504,-176.7219135609609,0.0648388732864564
BTC/USDT,7.0,2.0,1.5,0.5,257,0.12840466926070038,-0.00032225183022853074,-0.002222251830228531,-258.87500188805427,0.07424845919523781
BTC/USDT,7.0,2.0,1.5,1.0,255,0.23137254901960785,-0.00047438419328547595,-0.002374384193285476,-173.7574004671498,0.13614158446226982
BTC/USDT,7.0,2.0,1.5,1.5,251,0.33067729083665337,-0.00047664754860756424,-0.002376647548607564,-135.96411193218205,0.1718809615168409
BTC/USDT,7.0,2.0,2.0,0.5,256,0.14453125,-0.000253161957323101,-0.002153161957323101,-220.0207674793039,0.11290599044312741
BTC/USDT,7.0,2.0,2.0,1.0,254,0.24015748031496062,-0.0003210001836747212,-0.002221000183674721,-140.93850654147795,0.20681255248258376
BTC/USDT,7.0,2.0,2.0,1.5,250,0.348,-0.0002839390806686099,-0.00218393908066861,-110.2776388178478,0.26478811119065004
BTC/USDT,7.0,2.5,1.0,0.5,229,0.07860262008733625,-0.0004638412628548666,-0.0023638412628548666,-357.18048098248505,0.022277539651495072
BTC/USDT,7.0,2.5,1.0,1.0,228,0.14473684210526316,-0.0007381822197531314,-0.0026381822197531317,-240.7466314411227,0.045197862845442305
BTC/USDT,7.0,2.5,1.0,1.5,227,0.2026431718061674,-0.0007903895303643753,-0.0026903895303643753,-183.52276431901996,0.05586231604778043
BTC/USDT,7.0,2.5,1.5,0.5,229,0.11790393013100436,-0.0003464350742632754,-0.0022464350742632754,-272.40969901798155,0.06589341786530803
BTC/USDT,7.0,2.5,1.5,1.0,227,0.20704845814977973,-0.0005987766295183152,-0.0024987766295183154,-191.10711999632665,0.1111892974555332
BTC/USDT,7.0,2.5,1.5,1.5,225,0.3111111111111111,-0.000614156441208743,-0.002514156441208743,-146.79556314879264,0.1449040384566133
BTC/USDT,7.0,2.5,2.0,0.5,228,0.14035087719298245,-0.00025749335944486544,-0.0021574933594448653,-224.55786753439085,0.10823204797828369
BTC/USDT,7.0,2.5,2.0,1.0,226,0.22566371681415928,-0.0004628420079157484,-0.0023628420079157483,-156.63950010673315,0.17574390116025898
