symbol,k_entry,k_tp,k_sl,trades,win_rate,e_pnl_net,e_pnl_gross,sharpe,profit_factor,plateau_robust
ETH/USDT,2.0,1.0,0.5,917,0.19629225736095965,-0.002198230555503765,-0.0002982305555037655,-205.95408609996886,0.10163494071034991,False
ETH/USDT,2.0,1.0,1.0,915,0.3016393442622951,-0.002408335204536766,-0.0005083352045367666,-151.08823067504085,0.13700138178670893,False
ETH/USDT,2.0,1.0,1.5,908,0.39537444933920707,-0.0022177256104993696,-0.00031772561049936985,-111.25579626437455,0.19085908019145173,False
ETH/USDT,2.0,1.5,0.5,909,0.19691969196919692,-0.002086548079934678,-0.0001865480799346779,-157.28613391819945,0.18812038893208646,False
ETH/USDT,2.0,1.5,1.0,899,0.30589543937708563,-0.0023396372364360156,-0.0004396372364360162,-123.68168815951248,0.23778191585846015,False
ETH/USDT,2.0,1.5,1.5,889,0.40382452193475815,-0.0021934381641909263,-0.00029343816419092695,-93.27030251864073,0.30863654078957026,False
ETH/USDT,2.0,2.0,0.5,905,0.17790055248618786,-0.001998170006222545,-9.817000622254528e-05,-127.57649370838439,0.24616713817121855,False
ETH/USDT,2.0,2.0,1.0,888,0.2713963963963964,-0.0022588311289686454,-0.00035883112896864533,-104.58899604977012,0.3022216994924288,False
ETH/USDT,2.0,2.0,1.5,872,0.36353211009174313,-0.00210227566610905,-0.00020227566610905032,-79.1723945287017,0.38427526147358665,False
ETH/USDT,2.5,1.0,0.5,538,0.16171003717472118,-0.002340682493414775,-0.0004406824934147749,-238.15427844175687,0.07851732037566474,False
ETH/USDT,2.5,1.0,1.0,537,0.2774674115456238,-0.0025451624638823758,-0.0006451624638823758,-166.4810535346921,0.11495614937609945,False
ETH/USDT,2.5,1.0,1.5,535,0.38317757009345793,-0.002289064894171056,-0.0003890648941710561,-117.424650526563,0.17213280707036938,False
ETH/USDT,2.5,1.5,0.5,536,0.17164179104477612,-0.0022101914577005426,-0.0003101914577005427,-178.28252453492487,0.15906148588234426,False
ETH/USDT,2.5,1.5,1.0,531,0.2806026365348399,-0.002504978228466914,-0.0006049782284669143,-138.93974135560626,0.20611436719647538,False
ETH/USDT,2.5,1.5,1.5,529,0.4102079395085066,-0.0021901910913128906,-0.0002901910913128907,-95.00393179876716,0.3044874762114293,False
ETH/USDT,2.5,2.0,0.5,533,0.150093808630394,-0.0021558912520394085,-0.0002558912520394086,-147.67441359832014,0.20820090155443552,False
ETH/USDT,2.5,2.0,1.0,525,0.24571428571428572,-0.0024494875159169088,-0.0005494875159169091,-118.68208024259017,0.26671021632513653,False
ETH/USDT,2.5,2.0,1.5,519,0.3622350674373796,-0.00212653092808264,-0.00022653092808263992,-80.66573693344954,0.3840135225291938,False
