symbol,k_entry,k_tp,k_sl,trades,win_rate,e_pnl_net,e_pnl_gross,sharpe,profit_factor,plateau_robust
BTC/USDT,2.5,2.0,1.0,555,0.25225225225225223,-0.002167035385418451,-0.0002670353854184508,-145.57942271064294,0.19598108767063457,False
BTC/USDT,2.5,2.0,1.5,551,0.32849364791288566,-0.002127459017969983,-0.00022745901796998325,-116.21602064236359,0.2445156787794462,False
BTC/USDT,3.0,1.0,0.5,348,0.08045977011494253,-0.0022627390391819265,-0.0003627390391819263,-341.5280043891117,0.023555371041382205,False
BTC/USDT,3.0,1.0,1.0,348,0.13218390804597702,-0.0025670497608250645,-0.0006670497608250647,-245.69215539072627,0.03102050075127189,False
BTC/USDT,3.0,1.0,1.5,348,0.1781609195402299,-0.002681849747387553,-0.0007818497473875529,-194.74238178151919,0.04285333563266081,False
BTC/USDT,3.0,1.5,0.5,348,0.14655172413793102,-0.0020786827402537473,-0.00017868274025374713,-239.94624878834338,0.0861099297997991,False
BTC/USDT,3.0,1.5,1.0,347,0.23919308357348704,-0.002322641159838012,-0.00042264115983801166,-183.0141884446343,0.11686535298409469,False
BTC/USDT,3.0,1.5,1.5,347,0.30547550432276654,-0.0024371335952293907,-0.000537133595229391,-152.8244855463697,0.1361451270284302,False
BTC/USDT,3.0,2.0,0.5,348,0.15229885057471265,-0.002019382851204513,-0.00011938285120451278,-199.2506332542544,0.1355499656750866,False
BTC/USDT,3.0,2.0,1.0,347,0.24495677233429394,-0.0022611623380387304,-0.0003611623380387305,-158.36767425788116,0.176605963768796,False
BTC/USDT,3.0,2.0,1.5,347,0.30835734870317005,-0.002370412296616571,-0.00047041229661657117,-133.68067239219073,0.2033676149532979,False
ETH/USDT,1.5,1.0,0.5,1664,0.18209134615384615,-0.002261015085695445,-0.0003610150856954449,-213.7075023180157,0.0985418209467771,False
ETH/USDT,1.5,1.0,1.0,1638,0.32173382173382176,-0.0022442061444869262,-0.00034420614448692606,-139.74383195208765,0.16040095239375748,False
ETH/USDT,1.5,1.0,1.5,1603,0.4104803493449782,-0.002055135805343397,-0.0001551358053433971,-105.50157420440893,0.2105543664670571,False
ETH/USDT,1.5,1.5,0.5,1654,0.19165659008464328,-0.0021115489105578427,-0.00021154891055784282,-159.5364785325717,0.18315727032049586,False
ETH/USDT,1.5,1.5,1.0,1619,0.32674490426189007,-0.00206613222301909,-0.00016613222301909035,-107.23215460331093,0.28264213447304976,False
ETH/USDT,1.5,1.5,1.5,1578,0.4049429657794677,-0.001989357101739851,-8.935710173985095e-05,-86.18643097805686,0.3348347514109739,False
ETH/USDT,1.5,2.0,0.5,1647,0.1785063752276867,-0.001999475035235219,-9.9475035235219e-05,-127.40394302664224,0.2467343511588827,False
ETH/USDT,1.5,2.0,1.0,1598,0.30287859824780977,-0.0019107745357410195,-1.077453574101937e-05,-86.31843483082363,0.3675513871560168,False
ETH/USDT,1.5,2.0,1.5,1553,0.3805537669027688,-0.001803192359572854,9.680764042714581e-05,-69.14751563730708,0.4305794079068289,False
ETH/USDT,2.0,1.0,0.5,920,0.16304347826086957,-0.002370745544712545,-0.0004707455447125448,-233.56051767775543,0.08487930011404426,False
ETH/USDT,2.0,1.0,1.0,915,0.3081967213114754,-0.0023889480330767697,-0.0004889480330767697,-149.70949327392987,0.1462503033553514,False
ETH/USDT,2.0,1.0,1.5,899,0.42380422691879865,-0.0020618868247537455,-0.00016188682475374547,-104.34283832875762,0.2156336611907233,False
ETH/USDT,2.0,1.5,0.5,919,0.18063112078346028,-0.002181442014865535,-0.0002814420148655352,-167.92091880999652,0.17244320288418422,False
ETH/USDT,2.0,1.5,1.0,908,0.32158590308370044,-0.002139353833521262,-0.0002393538335212622,-110.58790834248052,0.2787115184140232,False
ETH/USDT,2.0,1.5,1.5,889,0.42407199100112486,-0.0019690544806148266,-6.90544806148265e-05,-83.55380142431464,0.3499280679590873,False
ETH/USDT,2.0,2.0,0.5,915,0.16830601092896175,-0.002053644659978465,-0.00015364465997846528,-131.781389112205,0.23891604819406556,False
ETH/USDT,2.0,2.0,1.0,898,0.30066815144766146,-0.001987225778459927,-8.722577845992732e-05,-89.09719575780818,0.3629266352021657,False
ETH/USDT,2.0,2.0,1.5,877,0.3990877993158495,-0.0018278082188662454,7.219178113375462e-05,-68.39285989860407,0.44019875328909136,False
